Source,Prediction,Reference
"But be warned, if you are not a fan of spicy food: the original version in Hue packs much more of a punch than its Saigon or Hanoi counterparts.","Nhưng hãy cảnh báo, nếu bạn không thích thức ăn nướng: phiên bản ban đầu ở Huế có nhiều sức hấp dẫn hơn các đồng minh ở Sài Gòn hay Hà Nội.","Nhưng hãy cẩn thận, nếu bạn không ưa thích đồ cay: phiên bản nguyên gốc của món ăn tại Huế nặng đô (về vị cay) hơn nhiều so với phiên bản ở thành phố Hồ Chí Minh hay Hà Nội."
there may end up being more cars on the roads,có thể có nhiều xe hơi trên đường,có thể dẫn đến nhiều ô tô trên đường hơn
"And you could say that the poet, in many ways,","Và bạn có thể nói rằng nhà thơ, theo nhiều cách,","Các bạn có thể thấy rằng các nhà thơ, bằng nhiều cách khác nhau,"
leaving us defenseless.,để chúng ta không bảo vệ.,khiến ta không kịp trở tay.
Normal sounds may really bother someone with autism - so much so that the person covers his or her ears .,Các âm thanh thường thấy có thể thực sự cố gắng đối phó với người bị tự kỷ - nhiều để người này phủ tai .,Ngay cả những âm thanh bình thường cũng có thể làm cho người mắc bệnh tự kỷ cảm thấy bực mình - đến nỗi người bệnh bịt tai lại .
A friend in need is a friend indeed.,Một người bạn cần thì thực sự là một người bạn.,Một người bạn có mặt lúc ta cần là một người bạn thực sự
"As part of it,","Là một phần của nó,","Một phần công việc là,"
ascent and descending:,một sự sâu sắc và sâu sắc:,tăng dần và giảm dần;
instead of every word; and we have some students that process,thay vì từng từ; và chúng tôi có một số sinh viên,Thay vì từng từ một; và chúng tôi cũng có một số học sinh
"The Government of Pakistan began screening of passengers at airports in Islamabad, Karachi, Lahore and Peshawar to prevent entry of coronavirus in the country.","Chính phủ Pakistan bắt đầu sàng lọc hành khách tại các sân bay ở Islamabad, Karachi, Lahore và Peshawar để ngăn chặn nhập cảnh virus corona tại nước này.","Chính phủ Pakistan đã bắt đầu sàng lọc các hành khách tại các sân bay ở Islamabad, Karachi, Lahore và Peshawar để ngăn chặn sự lây lan của virus trong cả nước."
"For this research, the two teams studied a group of unvaccinated people in the Netherlands to find out what measles does to the immune system.","Để nghiên cứu này, hai nhóm đã nghiên cứu một nhóm người không tiêm chủng ở Hà Lan để tìm ra những gì bệnh sởi làm cho hệ miễn dịch.","Để thực hiện nghiên cứu này, hai nhóm đã thực hiện nghiên cứu trên một nhóm người không sử dụng vắc xin tại Hà Lan để tìm ra những gì bệnh sởi đã làm đối với hệ miễn dịch."
"""I want to go to college and travel","""Tôi muốn đi đại học và du lịch",''Em muốn học đại học và đi du lịch
"might think of as installing new software into our brains,","có thể nghĩ như lắp đặt phần mềm mới vào não của chúng ta,","lại còn nghĩ tới việc cài một phần mềm vào trong não,"
"Specifically, we are looking to block the function of vitamin A in the testes.","Cụ thể, chúng tôi đang tìm cách chặn chức năng của vitamin A trong các xét nghiệm.","Cụ thể, chúng tôi tìm cách chặn chức năng của vitamin A trong tinh hoàn."
"it's my job to manage such risks.""","là công việc của tôi để quản lý những rủi ro như vậy.""","công việc của tôi là kiểm soát các thảm họa."""
"On that day, I knew that a giant impact was making something completely new.","Vào ngày hôm đó, tôi biết rằng một tác động khổng lồ đã làm những điều hoàn toàn mới.","Vào ngày đó, tôi biết rằng vụ va chạm lớn đã tạo nên một điều gì đó khác biệt."
but I knew that I could not leave her alone there,nhưng tôi biết rằng tôi không thể rời khỏi cô ấy ở đó,tôi chỉ biết rằng tôi sẽ không bỏ mặc cô ấy.
"In other words, make the city more hospitable to children and families.","Nói cách khác, làm cho thành phố được yên tâm hơn với trẻ em và gia đình.","Nói cách khác, làm thành phố thân thiện với trẻ em và các gia đình."
Every boy has his own likes and dislikes .,Mỗi cậu bé đều có những tình yêu và những gì mình thích .,Mỗi bạn trai đều có sở thích riêng của mình .
which are the same materials that compose your cell membrane.,đó là những nguyên liệu tạo ra mô tế bào.,hạt này có cấu tạo giống với màng tế bào.
A single drop of blood fell on the snow outside her window .,Một lỗ máu đã nổ lên tuyết bên ngoài cửa sổ của cô .,Một giọt máu rơi xuống màn tuyết bên ngoài cửa sổ .
So what does it mean to be a woman?,Vậy nó có nghĩa là phụ nữ?,Trở thành một người phụ nữ có nghĩa là gì?
"because as these red wedges show, right now we are far from balanced,","vì những cái nếp đỏ này cho thấy, ngay bây giờ chúng ta không cân bằng,","vì theo những hình nêm đỏ này, ta hiện đang ở rất xa thế cân bằng,"
Drinking during pregnancy increases risk of premature birth,Việc uống trong quá trình mang thai làm tăng nguy cơ sinh non,Uống rượu trong thời kỳ mang thai làm tăng nguy cơ sinh non
"I like to believe that my grandfather,","Tôi thích tin ông tôi,","Tôi rất muốn tin rằng,trong lúc đang vẽ ra"
"As the coronavirus continues to spread among humans around the world, conservationists are warning of its possible risk to another group: Africa’s endangered mountain gorillas.","Khi virus corona tiếp tục lan rộng giữa con người trên thế giới, các nhà bảo tồn đang cảnh báo về nguy cơ có thể xảy ra cho một nhóm khác: loài lợn núi nguy hiểm của châu Phi.","Khi virus corona đang tiếp tục lây nhiễm giữa người với người trên toàn thế giới, các nhà bảo tồn thiên nhiên cảnh báo về hiểm họa của virus có thể xảy ra đối với một nhóm khác: khỉ đột núi Châu Phi đang dần tuyệt chủng."
"The man does the laundry, not the woman.","Người đàn ông làm đồ giặt, không phải người phụ nữ.",Đàn ông phải làm việc giặt ủi chứ không phải đàn bà.
Age-group rating tools have been developed for some TV programs and usually appear in TV program listings and onscreen during the first 15 seconds of some TV programs .,Các công cụ đánh giá nhóm tuổi đã được phát triển cho một số chương trình TV và thường xuất hiện trong các tập tin chương trình ti vi và trên màn hình trong 15 giây đầu của một số chương trình ti vi .,Một số chương trình tivi đã dùng các công cụ phân loại theo nhóm tuổi và chúng thường xuất hiện trên các danh mục chương trình tivi và trên màn hình trong suốt 15 giây đầu tiên của một số chương trình .
but we'll also be able to step into the shoes of those we fear,nhưng chúng ta cũng có thể bước vào giày của những người sợ hãi,mà còn có thể mang đôi giày mà chúng ta sợ
to help me get through those anxiety attacks,để giúp tôi trải qua những cuộc tấn công lo lắng,để giúp tôi chống lại những cơn hoảng loạn
The carmaker is set to launch the new electric model at the Los Angeles Auto Show in the United States in November.,Nhà sản xuất xe hơi được thiết lập ra mẫu điện mới tại Triển lãm ô tô Los Angeles tại Hoa Kỳ vào tháng 11.,Nhà sản xuất ô tô này chuẩn bị ra mắt mẫu xe điện mới tại Triển lãm ô tô Los Angeles ở Mỹ vào tháng 11.
"More than 50 percent of the world 's population is infected , though most do not experience any symptoms .","Hơn 50% dân số thế giới bị nhiễm bệnh , mặc dù hầu hết đều không trải qua bất kỳ triệu chứng nào .","Hơn 50% dân số thế giới bị nhiễm bệnh , cho dù hầu hết không trải nghiệm triệu chứng nào ."
but none of them could please this client.,nhưng không ai trong số họ có thể làm vui cho khách hàng này.,nhưng không ai có thể làm hài lòng khách hàng này.
Watch out! That car almost hit you.,Hãy nhìn ra! Chiếc xe đó gần như đã tấn công bạn.,Hãy cẩn thận! Chiếc xe đó suýt nữa đụng anh rồi.
to unflinchingly pursue the truth.,để theo dõi sự thật.,điềm nhiên thuyết phục sự thật.
"Macmillan Cancer Support says a drop in referrals for urgent cancer check-ups, people starting treatment and the numbers being screened is threatening to have a ""traumatic"" impact on people's lives now and in the future.","Sự hỗ trợ ung thư Macmillan cho biết sự giảm trong các công việc kiểm tra ung thư khẩn cấp, mọi người bắt đầu điều trị và con số được sàng lọc đe dọa đang đe doạ tác động ""thật tồi tệ"" đến cuộc sống của mọi người và trong tương lai.","Tổ chức hỗ trợ ung thư Macmillan nói sự giảm thiểu trong giới thiệu khám ung thư khẩn cấp, số người bắt đầu điều trị và số người được sàng lọc đang đe dọa có ảnh hưởng “đau thương” lên cuộc sống của con người hiện tại và trong tương lai."
""" If you look at Spain 's unemployment rate , it is up two percentage points in January and even Italy 's rate continues to rise , so I am concerned that we really are lacking the fundamental reforms needed for growth .",""" Nếu bạn nhìn vào tỷ lệ thất nghiệp của Tây Ban Nha , tỷ lệ thất nghiệp tăng hai điểm vào tháng Giêng và thậm chí tỷ lệ của Ý tiếp tục tăng lên , vì vậy tôi lo lắng rằng chúng tôi thực sự thiếu những cải cách cơ bản để tăng trưởng .",""" Có thể thấy tỉ lệ thất nghiệp của Tây Ban Nha đã tăng hai điểm phần trăm trong tháng 1 , còn ở Ý , tỉ lệ này vẫn tiếp tục tăng , vì thế tôi rất lo là chúng tôi thực sự đang thiếu những cải cách cơ bản cần thiết cho sự tăng trưởng ."
